"site","trap","longitude","latitude","date_setup","date_collect","Onthophagus taurus","Euoniticellus fulvus","Euoniticellus pallipes","Onitis aygulus","Onthophagus binodis","Onitis alexis","Euoniticellus intermedius","Bubas bison","Onthophagus ferox","Onthophagus vermiculatus","Copris hispanus"
"Duranillin","Trap 2",116.827388,-33.479177,2012-04-17,2012-04-18 13:08:19,2,0,2,0,0,0,1,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-04-17,2012-04-18 14:20:05,0,0,1,0,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-04-17,2012-04-18 14:20:33,2,0,2,0,0,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-04-16,2012-04-17 00:00:00,21,1,0,0,3,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-04-16,2012-04-17 00:00:00,6,0,0,0,2,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2012-04-16,2012-04-17 00:00:00,5,0,13,0,1,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-04-16,2012-04-17 00:00:00,6,0,17,0,0,0,0,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-04-23,2012-04-24 08:34:22,1,0,0,0,0,0,0,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-04-23,2012-04-24 08:34:57,2,0,4,0,0,1,2,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-05-08,2012-05-09 11:43:16,0,0,0,0,0,1,5,8,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-05-08,2012-05-09 13:59:23,3,0,0,0,0,0,5,1,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2012-05-08,2012-05-09 11:42:49,0,0,0,0,0,1,5,8,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-05-15,2012-05-16 15:08:18,0,0,0,0,0,0,0,10,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-05-14,2012-05-15 16:17:16,0,0,0,0,0,0,0,1,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-05-15,2012-05-16 11:53:47,0,0,0,0,0,0,0,1,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-05-15,2012-05-16 12:20:59,0,0,0,0,0,0,0,12,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-05-15,2012-05-16 00:00:00,1,0,0,0,0,0,0,10,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-05-15,2012-05-16 15:10:09,1,0,0,0,0,0,0,3,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-05-15,2012-05-16 11:52:23,0,0,0,0,0,0,0,3,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-05-15,2012-05-16 13:33:29,0,0,0,0,0,0,0,4,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-05-15,2012-05-16 12:20:29,1,0,0,0,0,0,0,22,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-05-08,2012-05-09 00:00:00,2,0,0,0,0,0,5,2,1,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-05-30,2012-05-31 13:52:40,0,0,0,0,0,1,0,7,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-05-30,2012-05-31 09:18:14,0,0,1,0,0,2,0,2,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2012-05-30,2012-05-31 13:53:20,0,0,0,2,0,1,0,7,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-05-30,2012-05-31 09:17:30,0,0,2,0,0,4,0,3,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-06-06,2012-06-07 09:59:39,0,0,0,0,0,0,0,4,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-06-06,2012-06-07 16:44:12,0,0,0,0,0,0,0,26,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2012-06-06,2012-06-07 10:00:10,0,0,0,0,0,0,0,2,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-06-06,2012-06-07 16:44:44,0,0,0,0,0,0,0,22,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2012-05-23,2012-05-24 00:00:00,0,0,1,0,0,0,0,14,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-05-23,2012-05-24 00:00:00,0,0,2,0,1,0,0,16,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-05-14,2012-05-15 00:00:00,0,0,0,0,0,0,0,3,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-05-14,2012-05-15 00:00:00,0,0,0,0,0,0,0,3,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-06-12,2012-06-13 13:35:35,0,0,0,0,0,0,0,63,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-06-12,2012-06-13 15:38:22,0,0,0,0,0,0,0,34,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-06-12,2012-06-13 12:14:56,0,0,0,0,0,0,0,87,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-06-12,2012-06-13 15:36:53,0,0,0,0,0,0,0,23,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-06-12,2012-06-13 11:44:30,0,0,0,0,0,0,0,5,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-06-12,2012-06-13 12:15:24,0,0,0,0,0,0,0,106,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-06-12,2012-06-13 13:36:00,0,0,0,0,0,0,0,34,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-06-12,2012-06-13 10:05:42,0,0,0,0,0,0,0,1,0,0,0
